名称,经度,纬度,是否中转,线路
晓东村,102.7601398,24.98827377,FALSE,1
春融街,102.8239307,24.88721889,TRUE,1
驼峰街,102.8279098,24.87581336,FALSE,1
联大街,102.8325967,24.86270048,TRUE,1
谊康南路,102.8368491,24.85079008,FALSE,1
大学城,102.8409693,24.83925592,FALSE,1
大学城南,102.8255014,24.82574542,FALSE,1
环城南路,102.719474,25.02704096,TRUE,1
昆明火车站,102.7223156,25.01644607,FALSE,1
福德,102.7290182,25.00956737,FALSE,1
日新路,102.7333033,25.004379,FALSE,1
巫家坝,102.7401488,24.99986227,FALSE,1
昌宏西路,102.7496903,24.98918481,FALSE,1
市级行政中心・清风,102.8354189,24.88528444,FALSE,1
宜和路,102.843102,24.88756772,FALSE,1
白龙潭,102.8504823,24.87768064,FALSE,1
昆明南火车站,102.8597485,24.87453758,TRUE,1
珥季路,102.7653974,24.97559718,FALSE,1
星耀路,102.7666638,24.95994842,FALSE,1
新亚洲体育城,102.7681585,24.9500711,FALSE,1
南部汽车站,102.7736909,24.93231567,FALSE,1
斗南,102.7903644,24.91122566,TRUE,1
环城南路,102.7192937,25.02702819,TRUE,2
塘子巷,102.7184503,25.03641809,TRUE,2
东风广场,102.7182756,25.0410398,TRUE,2
交三桥,102.7180736,25.04531731,FALSE,2
穿心鼓楼,102.7180111,25.05219261,FALSE,2
火车北站,102.7192486,25.05914696,TRUE,2
白云路,102.7222795,25.06858491,FALSE,2
金星,102.726413,25.07901164,FALSE,2
北辰,102.7312526,25.08421937,FALSE,2
霖雨桥,102.7376245,25.09612585,FALSE,2
羊肠村,102.7406767,25.10451362,FALSE,2
司家营,102.7442214,25.11265924,FALSE,2
龙头街,102.752333,25.11483423,FALSE,2
北部汽车站,102.7618766,25.11011378,FALSE,2
西山公园,102.6166703,24.98738335,FALSE,3
车家壁,102.614437,24.99747221,FALSE,3
普坪村,102.6198581,25.00834389,FALSE,3
石咀,102.6280511,25.0210105,FALSE,3
大渔路,102.6342461,25.0306454,FALSE,3
西部汽车站,102.6375059,25.03847754,FALSE,3
眠山,102.6482597,25.0501527,FALSE,3
昌源中路,102.6555231,25.04968749,FALSE,3
西苑,102.6649634,25.04897145,FALSE,3
梁家河,102.6765088,25.04807804,FALSE,3
市体育馆,102.6862982,25.0473666,FALSE,3
潘家湾,102.6936672,25.0468472,FALSE,3
五一路,102.7045891,25.04022362,FALSE,3
东风广场,102.717517,25.0410777,TRUE,3
拓东体育馆,102.7287654,25.04119168,FALSE,3
大树营,102.7394634,25.04025357,TRUE,3
金马寺,102.7499997,25.03895125,FALSE,3
太平村,102.7591692,25.03928929,FALSE,3
虹桥,102.7715918,25.03903328,FALSE,3
东部汽车站,102.787059,25.03923676,TRUE,3
金川路,102.6559363,25.10183139,FALSE,4
大河埂,102.6539656,25.09291962,FALSE,4
海屯路,102.6625224,25.07936346,FALSE,4
小屯,102.6718263,25.0754063,FALSE,4
金鼎山北路,102.6840781,25.06712057,FALSE,4
苏家塘,102.691948,25.06659817,FALSE,4
小菜园,102.7044923,25.06342511,FALSE,4
火车北站,102.7218378,25.05973666,TRUE,4
白龙路,102.7333579,25.05241591,FALSE,4
大树营,102.7390059,25.03944963,TRUE,4
菊花村,102.7418726,25.03273086,FALSE,4
菊华,102.7481776,25.02756329,TRUE,4
和甸营,102.7616025,25.01769642,FALSE,4
牛街庄,102.7780787,25.00845578,FALSE,4
朱家村,102.7824168,24.99653536,FALSE,4
羊甫头,102.7842745,24.98059675,FALSE,4
玉缘路,102.7852413,24.96727123,FALSE,4
广卫,102.7840364,24.95195788,FALSE,4
塔密,102.7858906,24.94009187,FALSE,4
斗南,102.7908791,24.91211247,TRUE,4
金桂街,102.7888414,24.90421454,FALSE,4
梅子村,102.7844655,24.89550255,FALSE,4
古城,102.791108,24.88497806,FALSE,4
可乐村,102.7951626,24.87684926,FALSE,4
祥丰街,102.801397,24.86043828,FALSE,4
牛头山,102.8124067,24.85670531,FALSE,4
联大街,102.8330042,24.86297931,TRUE,4
吴家营,102.847312,24.8694636,FALSE,4
昆明南火车站,102.8598297,24.87432448,TRUE,4
机场中心,102.9258796,25.09835451,FALSE,6
机场前,102.9117436,25.08837679,FALSE,6
菊华,102.7477489,25.02845525,TRUE,6
东郊路,102.7393552,25.03120535,FALSE,6
岔街,102.7316899,25.03446648,FALSE,6
塘子巷,102.7196239,25.03652297,TRUE,6
东部汽车站,102.7870653,25.03904887,TRUE,6
大板桥,102.8751242,25.05646924,FALSE,6
